Library,Language,Time,Happiness
ggplot,R,0,5
ggplot,R,10,3
ggplot,R,20,3
ggplot,R,30,4
ggplot,R,40,5
ggplot,R,50,5
ggplot,R,60,5
ggplot,R,70,7
ggplot,R,80,6
ggplot,R,90,7
ggplot,R,100,7
ggplot,R,110,7
ggplot,R,120,8
ggvis,R,0,8
ggvis,R,10,6
ggvis,R,20,8
ggvis,R,30,8
scatterD3,R,0,8
scatterD3,R,10,6
scatterD3,R,20,6
scatterD3,R,30,6
scatterD3,R,40,8
scatterD3,R,50,8
scatterD3,R,60,8
MatPlotLib,Python,0,5
MatPlotLib,Python,10,6
MatPlotLib,Python,20,6
MatPlotLib,Python,30,4
MatPlotLib,Python,40,3
MatPlotLib,Python,50,3
MatPlotLib,Python,60,2
MatPlotLib,Python,70,2
MatPlotLib,Python,80,4
MatPlotLib,Python,90,5
MatPlotLib,Python,100,3
MatPlotLib,Python,110,4
MatPlotLib,Python,120,5
Seaborn,Python,0,4
Seaborn,Python,10,6
Seaborn,Python,20,7
Seaborn,Python,30,9
Plotly,Python,0,8
Plotly,Python,10,7
Plotly,Python,20,7
Plotly,Python,30,7
Plotly,Python,40,5
Plotly,Python,50,5.5
Plotly,Python,60,4
Plotly,Python,70,3
Plotly,Python,80,4
Plotly,Python,90,5
Pygal,Python,0,5
Pygal,Python,10,6
Pygal,Python,20,5
Pygal,Python,30,5
Pygal,Python,40,5
Pygal,Python,50,5
Pygal,Python,60,5
Bokeh,Python,0,4
Bokeh,Python,10,5
Bokeh,Python,20,5
Bokeh,Python,30,6
Bokeh,Python,40,6
Bokeh,Python,50,8
Bokeh,Python,60,8
D3,JavaScript,0,7
D3,JavaScript,10,7
D3,JavaScript,20,5
D3,JavaScript,30,4
D3,JavaScript,40,3
D3,JavaScript,50,5
D3,JavaScript,60,5
D3,JavaScript,70,4
D3,JavaScript,80,6
D3,JavaScript,90,5
D3,JavaScript,100,5
D3,JavaScript,110,5
D3,JavaScript,120,6
TauCharts.js,JavaScript,0,4
TauCharts.js,JavaScript,10,5.5
TauCharts.js,JavaScript,20,4
TauCharts.js,JavaScript,30,4
TauCharts.js,JavaScript,40,5
TauCharts.js,JavaScript,50,6
TauCharts.js,JavaScript,60,7
